epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0932,0.93865,3.18191,1.39944,1,0.26663,0.92321,0.68025,0.80874,3.79017,1.37374,0.000649573,0.000649573,0.000649573
2,30.7334,0.88618,2.2247,1.29852,0.82318,0.83051,0.90041,0.59304,1.21508,2.03536,1.9302,0.00131363,0.00131363,0.00131363
3,44.8439,0.9526,1.80701,1.33409,0.64475,0.76836,0.7982,0.55027,1.24223,5.50406,2.54928,0.00197505,0.00197505,0.00197505
4,59.5373,0.85831,1.43596,1.26979,0.90265,0.89058,0.93739,0.72706,0.87319,1.55096,1.38651,0.00198812,0.00198812,0.00198812
5,74.5967,0.81017,1.13497,1.22787,0.95727,0.84181,0.93942,0.69928,0.94661,2.20912,1.47287,0.00198416,0.00198416,0.00198416
6,89.9249,0.82749,0.94677,1.22604,0.93512,0.89575,0.95899,0.73197,0.87282,0.94123,1.31027,0.0019802,0.0019802,0.0019802
7,105.47,0.77932,0.83469,1.18289,0.9149,0.90395,0.93765,0.77078,0.74117,1.03046,1.23085,0.00197624,0.00197624,0.00197624
8,121.156,0.76806,0.69932,1.17513,0.97998,0.9548,0.98679,0.80772,0.74697,0.59561,1.27619,0.00197228,0.00197228,0.00197228
9,137.017,0.73911,0.65521,1.17695,0.95559,0.97259,0.99225,0.84563,0.65152,0.65746,1.13417,0.00196832,0.00196832,0.00196832
10,153.207,0.73671,0.60703,1.16653,0.90625,0.88136,0.94179,0.72541,0.97937,0.8815,1.50618,0.00196436,0.00196436,0.00196436
11,169.642,0.68685,0.55138,1.12363,0.60005,0.59887,0.61514,0.45233,1.1109,2.13857,1.74299,0.0019604,0.0019604,0.0019604
12,186.389,0.7166,0.53876,1.14342,0.99841,0.99435,0.995,0.86995,0.56444,0.41136,1.0462,0.00195644,0.00195644,0.00195644
13,203.671,0.67761,0.51775,1.1163,0.65768,0.73811,0.73664,0.58666,0.76404,1.99566,1.2437,0.00195248,0.00195248,0.00195248
14,220.355,0.65678,0.49327,1.1066,0.94552,0.92655,0.96977,0.77755,0.73896,0.66212,1.24414,0.00194852,0.00194852,0.00194852
15,237.168,0.64706,0.49589,1.11484,0.99291,0.97175,0.99368,0.85439,0.6043,0.47376,1.07021,0.00194456,0.00194456,0.00194456
16,254.421,0.65879,0.48951,1.11969,0.96849,0.9774,0.99199,0.8521,0.55997,0.43353,1.01461,0.0019406,0.0019406,0.0019406
17,271.578,0.64539,0.47212,1.10106,0.98816,0.94295,0.98738,0.84251,0.67833,0.45709,1.12158,0.00193664,0.00193664,0.00193664
18,288.898,0.62131,0.45066,1.08739,0.93274,0.94019,0.98014,0.80731,0.71323,0.52317,1.19025,0.00193268,0.00193268,0.00193268
19,306.983,0.62739,0.44552,1.07908,0.99204,1,0.99494,0.89329,0.54944,0.35097,1.0148,0.00192872,0.00192872,0.00192872
20,324.329,0.62529,0.43391,1.07156,1,0.97735,0.99435,0.8737,0.57888,0.38738,1.043,0.00192476,0.00192476,0.00192476
21,341.989,0.64891,0.44303,1.11163,0.987,1,0.99489,0.8698,0.5733,0.41733,1.03315,0.0019208,0.0019208,0.0019208
22,359.987,0.61401,0.42633,1.0793,0.99404,1,0.995,0.88251,0.54737,0.34006,1.02708,0.00191684,0.00191684,0.00191684
23,378.056,0.61593,0.41964,1.08985,0.99546,0.9887,0.99451,0.88718,0.52604,0.37816,0.98791,0.00191288,0.00191288,0.00191288
24,395.84,0.61334,0.41769,1.07566,0.99438,0.99927,0.99494,0.89885,0.48691,0.31743,0.96797,0.00190892,0.00190892,0.00190892
25,413.63,0.59925,0.40047,1.06139,0.8095,0.46893,0.62525,0.41242,1.49623,1.55713,2.03832,0.00190496,0.00190496,0.00190496
26,431.846,0.60977,0.41151,1.075,0.7254,0.77966,0.79741,0.62571,0.93074,0.84343,1.49811,0.001901,0.001901,0.001901
27,449.679,0.5884,0.39702,1.06122,0.81359,0.72316,0.81581,0.53016,1.25596,1.1437,1.71311,0.00189704,0.00189704,0.00189704
28,467.758,0.57582,0.38635,1.03942,0.9914,0.9887,0.99472,0.88585,0.51101,0.34767,0.9994,0.00189308,0.00189308,0.00189308
29,485.743,0.56458,0.38308,1.04033,0.99363,0.9887,0.99441,0.90592,0.48706,0.31258,0.95853,0.00188912,0.00188912,0.00188912
30,503.805,0.58879,0.39302,1.06456,1,0.99944,0.995,0.90937,0.45329,0.2751,0.9473,0.00188516,0.00188516,0.00188516
31,521.999,0.56613,0.37268,1.05025,0.61708,0.72836,0.76082,0.55206,1.06688,1.59799,1.57301,0.0018812,0.0018812,0.0018812
32,540.231,0.56843,0.37653,1.04649,0.96997,0.97175,0.99052,0.87277,0.57756,0.40809,1.0301,0.00187724,0.00187724,0.00187724
33,558.315,0.56452,0.37704,1.04338,1,0.99965,0.995,0.88464,0.526,0.31724,0.98896,0.00187328,0.00187328,0.00187328
34,576.497,0.54925,0.35698,1.03778,1,0.9995,0.995,0.89369,0.52887,0.32292,0.9917,0.00186932,0.00186932,0.00186932
35,594.712,0.5523,0.35438,1.03573,0.99958,1,0.995,0.90814,0.46679,0.27068,0.93914,0.00186536,0.00186536,0.00186536
36,613.106,0.55226,0.35401,1.01757,0.99947,1,0.995,0.89952,0.52409,0.28858,0.97198,0.0018614,0.0018614,0.0018614
37,631.225,0.53977,0.35447,1.03112,0.9994,0.99435,0.995,0.9024,0.47691,0.31066,0.94974,0.00185744,0.00185744,0.00185744
38,649.571,0.54294,0.36607,1.02224,0.95798,1,0.99308,0.87401,0.54003,0.38437,0.99235,0.00185348,0.00185348,0.00185348
39,667.998,0.5434,0.3542,1.02515,0.99707,1,0.995,0.91773,0.44676,0.28212,0.93032,0.00184952,0.00184952,0.00184952
40,686.226,0.52337,0.34405,1.01429,0.97174,0.97121,0.99308,0.88373,0.53952,0.34587,1.00302,0.00184556,0.00184556,0.00184556
41,704.454,0.53682,0.34632,1.02846,0.97697,0.99435,0.99455,0.87802,0.52579,0.32825,1.00587,0.0018416,0.0018416,0.0018416
42,722.814,0.52237,0.34129,1.00976,0.99973,1,0.995,0.91628,0.45783,0.27074,0.93972,0.00183764,0.00183764,0.00183764
43,741.127,0.51367,0.34116,1.02279,1,0.99835,0.995,0.90475,0.49224,0.27918,0.96855,0.00183368,0.00183368,0.00183368
44,759.515,0.52841,0.34024,1.01039,0.99438,0.99996,0.99494,0.90661,0.47914,0.28171,0.95696,0.00182972,0.00182972,0.00182972
45,777.779,0.53261,0.33984,1.02631,0.98856,1,0.99489,0.88493,0.49508,0.29363,0.98642,0.00182576,0.00182576,0.00182576
46,796.157,0.50845,0.32847,1.01749,0.99964,0.99435,0.995,0.90647,0.49955,0.29149,0.95494,0.0018218,0.0018218,0.0018218
47,814.226,0.48416,0.31227,0.98821,0.99965,1,0.995,0.91521,0.46893,0.25472,0.95778,0.00181784,0.00181784,0.00181784
48,832.642,0.51459,0.32135,1.00523,0.90414,0.9322,0.96671,0.81225,0.67934,0.5185,1.14354,0.00181388,0.00181388,0.00181388
49,851.173,0.52136,0.33478,1.00743,0.22421,0.29379,0.21934,0.14551,2.28183,3.1663,3.09726,0.00180992,0.00180992,0.00180992
